Date,Time,Open,High,Low,Close,Volume,Pos_Rel_To_MA_20,Pos_Rel_To_MA_50,Pos_Rel_To_MA_100,Class_10_pips
2017.03.10,16:00,1.06325,1.06325,1.06212,1.06257,2250,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,16:00,1.06257,1.06397,1.06201,1.06345,2445,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,17:00,1.06342,1.06387,1.06207,1.06289,2859,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,17:00,1.06287,1.06362,1.06269,1.06314,2220,ABOVE,ABOVE,ABOVE,+10pips
2017.03.10,17:00,1.06315,1.06665,1.06281,1.06481,2959,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,17:00,1.06481,1.06706,1.06467,1.06573,3592,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,18:00,1.06568,1.06592,1.06487,1.06582,2698,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,18:00,1.06581,1.06705,1.06575,1.06647,2554,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,18:00,1.06647,1.06728,1.06619,1.06678,1817,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,18:00,1.06676,1.06768,1.06651,1.06667,2141,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,19:00,1.06666,1.06678,1.06641,1.06672,1103,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,19:00,1.06672,1.06702,1.06641,1.06702,1376,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,19:00,1.06700,1.06768,1.06663,1.06767,1368,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,19:00,1.06768,1.06777,1.06656,1.06690,1978,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,20:00,1.06692,1.06762,1.06686,1.06753,1657,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,20:00,1.06755,1.06772,1.06715,1.06755,1185,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,20:00,1.06755,1.06818,1.06754,1.06788,1015,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,20:00,1.06789,1.06868,1.06759,1.06805,1335,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,21:00,1.06805,1.06834,1.06797,1.06803,1143,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,21:00,1.06804,1.06834,1.06799,1.06833,905,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,21:00,1.06834,1.06907,1.06832,1.06898,1144,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,21:00,1.06899,1.06928,1.06867,1.06914,1193,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,22:00,1.06914,1.06991,1.06909,1.06952,1305,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,22:00,1.06953,1.06992,1.06947,1.06981,966,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,22:00,1.06983,1.06991,1.06942,1.06942,673,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,22:00,1.06941,1.06954,1.06865,1.06867,1052,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,23:00,1.06868,1.06895,1.06855,1.06889,669,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,23:00,1.06887,1.06896,1.06803,1.06819,699,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,23:00,1.06816,1.06824,1.06716,1.06724,1022,BELOW,ABOVE,ABOVE,RANGING
2017.03.10,23:00,1.06721,1.06754,1.06692,1.06710,925,BELOW,ABOVE,ABOVE,+10pips
2017.03.13,00:00,1.06755,1.06842,1.06755,1.06840,144,ABOVE,ABOVE,ABOVE,RANGING
2017.03.13,00:00,1.06840,1.06845,1.06817,1.06843,183,ABOVE,ABOVE,ABOVE,RANGING
2017.03.13,00:00,1.06843,1.06871,1.06838,1.06839,201,ABOVE,ABOVE,ABOVE,RANGING
2017.03.13,00:00,1.06842,1.06876,1.06842,1.06853,339,ABOVE,ABOVE,ABOVE,RANGING
2017.03.13,01:00,1.06854,1.06872,1.06828,1.06858,675,ABOVE,ABOVE,ABOVE,RANGING
2017.03.13,01:00,1.06857,1.06863,1.06823,1.06827,277,BELOW,ABOVE,ABOVE,RANGING
2017.03.13,01:00,1.06827,1.06840,1.06789,1.06797,309,BELOW,ABOVE,ABOVE,RANGING
2017.03.13,01:00,1.06796,1.06799,1.06788,1.06794,262,BELOW,ABOVE,ABOVE,RANGING
2017.03.13,02:00,1.06792,1.06825,1.06787,1.06818,442,BELOW,ABOVE,ABOVE,RANGING
2017.03.13,02:00,1.06815,1.06830,1.06814,1.06830,225,BELOW,ABOVE,ABOVE,RANGING
2017.03.13,02:00,1.06829,1.06909,1.06828,1.06863,550,ABOVE,ABOVE,ABOVE,RANGING
2017.03.13,02:00,1.06864,1.06925,1.06848,1.06897,516,ABOVE,ABOVE,ABOVE,RANGING
2017.03.13,03:00,1.06896,1.06921,1.06856,1.06904,1023,ABOVE,ABOVE,ABOVE,RANGING
2017.03.13,03:00,1.06904,1.06924,1.06887,1.06898,903,ABOVE,ABOVE,ABOVE,RANGING
2017.03.13,03:00,1.06899,1.06918,1.06872,1.06888,722,ABOVE,ABOVE,ABOVE,RANGING
2017.03.13,03:00,1.06887,1.06889,1.06822,1.06822,954,BELOW,ABOVE,ABOVE,RANGING
2017.03.13,04:00,1.06823,1.06845,1.06805,1.06840,936,ABOVE,ABOVE,ABOVE,RANGING
2017.03.13,04:00,1.06838,1.06856,1.06816,1.06833,808,BELOW,ABOVE,ABOVE,RANGING
2017.03.13,04:00,1.06833,1.06873,1.06826,1.06859,831,ABOVE,ABOVE,ABOVE,RANGING
2017.03.13,04:00,1.06861,1.06864,1.06825,1.06850,1043,ABOVE,ABOVE,ABOVE,RANGING
2017.03.13,05:00,1.06851,1.06898,1.06834,1.06891,957,ABOVE,ABOVE,ABOVE,RANGING
2017.03.13,05:00,1.06890,1.06922,1.06886,1.06917,638,ABOVE,ABOVE,ABOVE,RANGING
2017.03.13,05:00,1.06920,1.06952,1.06916,1.06927,603,ABOVE,ABOVE,ABOVE,RANGING
2017.03.13,05:00,1.06928,1.06964,1.06914,1.06946,729,ABOVE,ABOVE,ABOVE,RANGING
2017.03.13,06:00,1.06945,1.06995,1.06943,1.06991,679,ABOVE,ABOVE,ABOVE,RANGING
2017.03.13,06:00,1.06990,1.07009,1.06960,1.06960,763,ABOVE,ABOVE,ABOVE,RANGING
2017.03.13,06:00,1.06961,1.06990,1.06956,1.06982,639,ABOVE,ABOVE,ABOVE,RANGING
2017.03.13,06:00,1.06983,1.07004,1.06967,1.06971,607,ABOVE,ABOVE,ABOVE,RANGING
2017.03.13,07:00,1.06972,1.07006,1.06969,1.07001,646,ABOVE,ABOVE,ABOVE,RANGING
2017.03.13,07:00,1.07002,1.07004,1.06988,1.06989,587,ABOVE,ABOVE,ABOVE,RANGING
2017.03.13,07:00,1.06990,1.06991,1.06967,1.06983,470,ABOVE,ABOVE,ABOVE,RANGING
2017.03.13,07:00,1.06983,1.07003,1.06979,1.06989,574,ABOVE,ABOVE,ABOVE,RANGING
